month,symbol,date,rule,ret,tp_hit
2023-04,FTEK,2023-04-24,30d/sub$1.5/$1.50-$1.80/+20%/90d,-0.32128205128205123,False
2023-04,BRFH,2023-04-04,30d/sub$1.5/$1.50-$1.80/+20%/90d,0.17999999999999997,True
2023-04,WULF,2023-04-13,30d/sub$1.5/$1.50-$1.80/+20%/90d,0.17999999999999997,True
2023-04,OPK,2023-04-03,30d/sub$1.5/$1.50-$1.80/+20%/90d,0.17999999999999997,True
2023-05,CRVS,2023-05-10,60d/sub$1.5/$1.50-$1.80/+50%/90d,0.48,True
2023-05,AQST,2023-05-03,60d/sub$1.5/$1.50-$1.80/+50%/90d,0.48,True
2023-05,VANI,2023-05-10,60d/sub$1.5/$1.50-$1.80/+50%/90d,-0.3908609271523179,False
2023-05,NEPH,2023-05-31,60d/sub$1.5/$1.50-$1.80/+50%/90d,0.48,True
2023-05,NCRA,2023-05-12,60d/sub$1.5/$1.50-$1.80/+50%/90d,0.48,True
2023-05,SNT,2023-05-09,60d/sub$1.5/$1.50-$1.80/+50%/90d,-0.2584105960264902,False
2023-05,KOPN,2023-05-18,60d/sub$1.5/$1.50-$1.80/+50%/90d,0.48,True
2023-06,AVAH,2023-06-16,60d/sub$1.5/$1.50-$1.80/+50%/90d,-0.23935483870967741,False
2023-06,CNTX,2023-06-30,60d/sub$1.5/$1.50-$1.80/+50%/90d,-0.27477707006369434,False
2023-06,HEPS,2023-06-15,60d/sub$1.5/$1.50-$1.80/+50%/90d,-0.18000000000000002,False
2023-06,TMC,2023-06-20,60d/sub$1.5/$1.50-$1.80/+50%/90d,0.48,True
2023-06,REAX,2023-06-15,60d/sub$1.5/$1.50-$1.80/+50%/90d,-0.07844155844155852,False
2023-06,KEEL,2023-06-23,60d/sub$1.5/$1.50-$1.80/+50%/90d,-0.3403883495145631,False
2023-07,CRDL,2023-07-25,60d/sub$1.0/$1.05-$1.15/+50%/60d,-0.2990909090909092,False
2023-08,PSHG,2023-08-01,30d/sub$1.0/$1.05-$1.15/+50%/30d,0.48,True
2023-09,GLBS,2023-09-18,30d/sub$1.0/$1.05-$1.15/+50%/90d,0.48,True
2023-09,AHG,2023-09-05,30d/sub$1.0/$1.05-$1.15/+50%/90d,0.48,True
2023-09,VFF,2023-09-11,30d/sub$1.0/$1.05-$1.15/+50%/90d,-0.2349532710280374,False
2023-10,AHG,2023-10-09,60d/sub$1.5/$1.50-$1.80/+30%/90d,0.28,True
2023-10,SNT,2023-10-10,60d/sub$1.5/$1.50-$1.80/+30%/90d,-0.2357534246575342,False
2023-10,MATH,2023-10-04,60d/sub$1.5/$1.50-$1.80/+30%/90d,0.28,True
2023-11,CNET,2023-11-02,30d/sub$1.0/$1.05-$1.15/+50%/90d,-0.16414414414414422,False
2023-11,ONDS,2023-11-20,30d/sub$1.0/$1.05-$1.15/+50%/90d,0.48,True
2023-12,CCLD,2023-12-22,60d/sub$1.5/$1.50-$1.80/+50%/90d,-0.3593939393939394,False
2023-12,HRTX,2023-12-04,60d/sub$1.5/$1.50-$1.80/+50%/90d,0.48,True
2023-12,CGTX,2023-12-08,60d/sub$1.5/$1.50-$1.80/+50%/90d,0.48,True
2023-12,CTMX,2023-12-27,60d/sub$1.5/$1.50-$1.80/+50%/90d,0.48,True
2023-12,COSM,2023-12-27,60d/sub$1.5/$1.50-$1.80/+50%/90d,-0.5762913907284768,False
2023-12,BTCS,2023-12-05,60d/sub$1.5/$1.50-$1.80/+50%/90d,-0.20128654970760237,False
2023-12,CRDF,2023-12-26,60d/sub$1.5/$1.50-$1.80/+50%/90d,0.48,True
2023-12,RKTO,2023-12-27,60d/sub$1.5/$1.50-$1.80/+50%/90d,-0.2668354430379748,False
2023-12,SWVL,2023-12-29,60d/sub$1.5/$1.50-$1.80/+50%/90d,0.48,True
