symbol,date,prev_close,rth_open,gap_pct,long_ret,short_ret,short_eod,rth_close,intraday_high_x_open
SBET,2025-05-09,3.1700000762939453,3.07,-0.03154576463318448,0.05,-0.03,-0.15798045602605876,3.555,1.3517915309446256
SEGG,2026-01-20,1.2799999713897705,1.24,-0.031249978346749696,0.05,-0.03,-0.4879032258064516,1.845,3.7500000000000004
SERV,2024-07-05,2.0999999046325684,2.1,4.5413064864163744e-08,0.05,-0.03,-0.1523809523809523,2.42,1.3236190476190475
SERV,2024-07-19,2.630000114440918,4.27,0.6235740738390465,-0.03,0.05,-0.7587822014051524,7.51,2.1007025761124125
SIDU,2024-08-19,2.630000114440918,2.71,0.030418206113305812,-0.03136531365313655,-0.03,-0.4501845018450185,3.93,1.848708487084871
SIDU,2024-12-16,1.4299999475479126,2.24,0.5664336238900094,0.05,-0.03,-1.0382589285714283,4.5657,3.0535714285714284
SIDU,2026-04-02,2.0999999046325684,2.01,-0.04285709939035243,0.05,-0.03,-0.5348258706467663,3.085,1.5920398009950252
SKK,2024-12-26,7.480000019073486,7.35,-0.017379681649999368,0.05,-0.03,-0.8367346938775511,13.5,3.496598639455782
SKK,2025-05-28,5.96999979019165,6.11,0.023450622232577212,0.07201309328968897,-0.035188216039279796,-0.0065466448445171905,6.15,1.5057283142389524
SKK,2025-10-24,3.4600000381469727,3.44,-0.0057803577822166385,0.07470930232558137,-0.03,-0.13372093023255813,3.9,1.3194767441860464
SKK,2026-05-04,1.75,1.765,0.008571428571428452,-0.03682719546742208,-0.03682719546742219,-5.9631161473087815,12.2899,10.169971671388103
SKYQ,2025-06-16,6.0320000648498535,6.256,0.03713526736437833,0.05,-0.03516624040920702,-0.11585677749360615,6.9808,2.4808184143222505
SKYQ,2026-04-08,6.360000133514404,5.1,-0.19811322438104328,0.05,-0.03,-0.3346274509803923,6.8066,1.4705882352941178
SKYQ,2026-04-10,7.289999961853027,7.75,0.06310014273718134,0.05,-0.03,-0.6503483870967742,12.7902,1.9806451612903226
SLDP,2025-11-05,5.614999771118164,6.24,0.11130903906650991,-0.03,-0.03,-0.36298076923076933,8.505,1.4198717948717947
SLNH,2025-10-14,2.259999990463257,2.215,-0.01991150028900346,-0.03,0.05,-0.255079006772009,2.78,1.3950338600451468
SLS,2025-01-27,1.0099999904632568,1.05,0.03960397021231299,0.05,-0.03,-0.3333333333333332,1.4,1.438095238095238
SOBR,2025-04-04,3.4700000286102295,3.21,-0.07492796151773007,-0.03,-0.03,-0.5358255451713395,4.93,2.1183800623052957
SPHL,2025-04-10,4.639999866485596,5.2,0.12068968741987418,0.05,-0.03,0.19723076923076918,4.1744,1.4769230769230768
SPHL,2025-09-30,3.2079999446868896,3.2,-0.0024937483867912835,0.05,-0.03,-0.39124999999999993,4.452,2.125
SPHL,2026-01-15,2.25,7.82,2.4755555555555557,-0.03,0.05,-1.2237851662404091,17.39,3.210997442455243
SPHL,2026-06-05,2.388999938964844,2.39,0.00041861074119120545,0.06330543933054389,-0.06330543933054389,-1.2510460251046023,5.38,4.481171548117155
SPPL,2024-11-04,2.559999942779541,2.6,0.0156250227009882,-0.03,-0.03,-2.5387692307692307,9.2008,4.2153846153846155
SPPL,2024-11-15,7.064000129699707,9.92,0.40430348497483704,-0.03,-0.03,-0.008306451612903207,10.0024,1.435483870967742
STAK,2025-04-14,1.1399999856948853,1.25,0.09649124182932711,0.08800000000000008,-0.03,-0.7839200000000002,2.2299,2.144
STAK,2026-06-03,1.899999976158142,1.92,0.010526328469907975,0.05,-0.03,-0.8697916666666666,3.59,2.03125
STAK,2026-06-05,4.239999771118164,4.17,-0.016509380871901347,0.05582733812949647,-0.03,-0.18705035971223027,4.95,2.1103117505995206
TJGC,2026-06-03,2.190000057220459,2.55,0.16438353122074867,-0.03,-0.03,-1.3960392156862746,6.1099,2.7725490196078435
TRAW,2026-05-11,2.180000066757202,2.22,0.018348592668760322,0.05,-0.03,0.09824324324324332,2.0019,1.4549549549549547
TROO,2025-12-29,1.9299999475479128,2.01,0.04145080550583846,0.074626865671642,-0.074626865671642,-0.194676616915423,2.4013,1.4029850746268657
TURB,2025-09-16,2.700000047683716,6.23,1.3074073666571273,0.05,-0.03,-0.9903691813804173,12.4,3.282504012841091
TURB,2026-03-03,1.3700000047683716,1.3,-0.05109489381367305,-0.03,-0.03,-1.2076923076923076,2.87,2.4846153846153847
TYGO,2025-11-21,1.6200000047683716,1.66,0.024691355008574556,-0.03,-0.03,-0.08433734939759044,1.8,2.710843373493976
UCAR,2026-03-17,4.440000057220459,7.557,0.7020270050921698,-0.03,0.05,0.04049225883287019,7.251,2.3157337567817917
VCIG,2026-05-29,5.789999961853027,5.75,-0.006908456324104306,-0.03,0.05,-0.46782608695652167,8.44,2.013913043478261
VERU,2026-06-04,2.25,2.18,-0.03111111111111109,-0.03,-0.03,-0.9403669724770642,4.23,3.362385321100917
VSA,2026-03-26,5.699999809265137,6.752,0.18456144314687095,-0.03,0.05,-1.0290284360189572,13.7,2.5028139810426544
VUZI,2024-11-22,1.2999999523162842,1.28,-0.015384579269136944,0.05,-0.03,-0.33593749999999994,1.71,1.34375
VUZI,2025-09-22,2.569999933242798,2.65,0.03112843145340438,0.05,-0.03,-0.27301886792452834,3.3735,1.3056603773584905
VWAV,2025-07-28,2.3499999046325684,4.1,0.7446809218662716,-0.03,-0.03,-1.6829268292682928,11.0,3.0707317073170732
WALD,2024-08-28,2.9000000953674316,3.38,0.16551720305090267,0.05,-0.03,0.09171597633136097,3.07,1.4023372781065089
WCT,2025-04-03,7.949999809265137,7.54,-0.05157230428953119,-0.03,0.05,-0.2990716180371353,9.795,1.3925729442970822
WCT,2026-06-03,0.9200000166893004,1.595,0.7336956207237315,-0.03,0.05,-0.6081504702194357,2.565,2.2633228840125392
WGRX,2026-05-18,4.199999809265137,4.45,0.059523857640032984,-0.03,-0.030337078651685445,-0.8808988764044942,8.37,2.465168539325843
WKEY,2024-12-13,3.2799999713897705,3.3,0.00609756975142739,0.05,-0.03,-1.381818181818182,7.86,2.53939393939394
WKEY,2024-12-26,9.899999618530272,9.07,-0.08383834853657202,0.05,-0.03,-0.4266813671444321,12.94,1.4586549062844543
WTF,2025-06-17,5.010000228881836,5.0,-0.001996053577839385,0.06000000000000005,-0.030000000000000027,-0.32752,6.6376,1.4990999999999999
XFOR,2025-08-19,2.490000009536743,2.58,0.03614457434480145,-0.03,0.05,-0.15116279069767447,2.97,1.3255813953488371
XGN,2025-01-03,3.0899999141693115,3.05,-0.01294495640141946,0.05,-0.03,-0.1803278688524591,3.6,1.3049180327868852
XOS,2025-02-20,3.130000114440918,4.43,0.4153354115104524,0.05,-0.03,-0.40970654627539516,6.245,2.065440180586908
XTIA,2025-06-11,3.049999952316284,3.18,0.0426229671200451,0.05,-0.03,-0.5754716981132074,5.01,2.3364779874213832
ZENA,2024-11-25,1.7899999618530271,1.89,0.055865944289435365,0.05,-0.03,-2.396825396825397,6.42,3.888888888888889
ZENA,2024-12-20,7.730000019073486,7.14,-0.07632600486645325,-0.03,-0.03,-0.12319327731092448,8.0196,1.3958543417366949
